"skey	se	lc_se_nm	cmpnm	detail_info	cvntl_knd_nm	image_url	writng_de",,,,
"1	관광지 주변우수업체	다대포해수욕장	별난멸치국수	상 호 (전화번호) : 별난멸치국수 (051-266-2668) 주 소 : 사하구 다대로 700 위 치 : 다대포해수욕장역 1번출구에서 1분거리 테이블 수 : 전체 15  입석 15  주메뉴 : 멸치국수 	입식테이블|음식점|경사로|이용가능시설|자동문	http://www.wheelbusan.or.kr/board/file/download?board_number=837	2018-08-07 11:13",,,,
"2	관광지 주변우수업체	다대포해수욕장	와사비꼬막정식	상 호 (전화번호) : 와사비꼬막정식 (051-261-7972) 주 소 : 사하구 다대로 690(다대동) 위 치 : 다대포해수욕장역 3번출구에서 1분 테이블 수 : 전체 18  입식 18  주메뉴 : 꼬막정식 	입식테이블|음식점|이용가능시설	http://www.wheelbusan.or.kr/board/file/download?board_number=838	2018-08-07 11:15",,,,
"3	관광지 주변우수업체	다대포해수욕장	부산숯불장어. 꼼장어	상 호 (전화번호) : 부산숯불장어. 꼼장어 (051-264-8777) 주 소 : 사하구 다대로 663 위 치 : 다대포해수욕장역 2-4번 출구에서 2분거리 테이블 수 : 전체 8  입식 5  주메뉴 : 장어구이	입식테이블|음식점|경사로|이용가능시설	http://www.wheelbusan.or.kr/board/file/download?board_number=808	2018-07-10 10:11",,,,
"4	관광지 주변우수업체	다대포해수욕장	포항집	상 호 (전화번호) : 포항집 (051-263-0527) 주 소 : 사하구 몰운대1길 31 위 치 : 다대포해수욕장역 4번출구에서 5분 테이블 수 : 전체 16  입식 10   주메뉴 : 꼼장어구이	입식테이블|음식점	http://www.wheelbusan.or.kr/board/file/download?board_number=546	2018-06-15 16:54",,,,
"5	관광지 주변우수업체	다대포해수욕장	태평양 꼼장어	상 호 (전화번호) : 태평양 꼼장어 (051-262-6686) 주 소 : 사하구 몰운대1길 31 위 치 : 다대포해수욕장역 4번출구에서 5분 테이블 수 : 전체 12  입식 8  주메뉴 : 꼼장어	입식테이블|음식점|경사로|이용가능시설	http://www.wheelbusan.or.kr/board/file/download?board_number=547	2018-06-15 16:56",,,,
"6	관광지 주변우수업체	구포무장애숲길	삼겹파티	상 호 (전화번호) : 삼겹파티 (051-341-8636) 주 소 : 북구 구포동 916  위 치 : 구남역 3번출구에서 5분  테이블 수 : 전체 25  입식 25  주메뉴 : 삼겹파티모듬 	입식테이블|음식점|이용가능시설	http://www.wheelbusan.or.kr/board/file/download?board_number=948	2018-12-28 15:51",,,,
"7	관광지 주변우수업체	구포무장애숲길	카페파스쿠찌	상 호 (전화번호) : 카페파스쿠찌 (051-338-1300) 주 소 : 북구 낙동북로 720 위 치 : 구포무장애숲길 주차장 옆 테이블 수 : 전체 39  입식 29   주메뉴 : 커피	입식테이블|음식점|경사로|이용가능시설|자동문|엘리베이터	http://www.wheelbusan.or.kr/board/file/download?board_number=545	2018-06-15 16:53",,,,
"8	관광지 주변우수업체	BEXCO	면주방	상 호 (전화번호) : 면주방 (051-745-1971) 주 소 : 부산 해운대구 센텀4로 15 신세계센텀시티몰 4층 위 치 : 신세계백화점 4층 테이블 수 : 전체 14  입식 14  주메뉴 : 면주방 갈비국수	입식테이블|음식점|경사로|이용가능시설|자동문|장애인전용 주차구역|엘리베이터|장애인화장실	http://www.wheelbusan.or.kr/board/file/download?board_number=542	2018-06-15 16:49",,,,
"9	관광지 주변우수업체	BEXCO	토끼정	상 호 (전화번호) : 토끼정 (051-745-1964) 주 소 : 부산 해운대구 센텀4로 15 신세계센텀시티몰 4층	입식테이블|음식점|경사로|이용가능시설|자동문|장애인전용 주차구역|엘리베이터|장애인화장실	http://www.wheelbusan.or.kr/board/file/download?board_number=543	2018-06-15 16:51",,,,
"10	관광지 주변우수업체	충렬사	옹기마을	상 호 (전화번호) : 옹기마을 (051-524-5595) 주 소 : 충렬대로359길 29 위 치 : 충렬사역 2번출구에서 4분 테이블 수 : 전체 15  입식 5  주메뉴 : 보리밥 	입식테이블|음식점|이용가능시설|장애인전용 주차구역	http://www.wheelbusan.or.kr/board/file/download?board_number=840	2018-08-07 11:50",,,,
"11	관광지 주변우수업체	충렬사	석류나무집	상 호 (전화번호) : 석류나무집 (051-528-1100) 주 소 : 동래구 안락로 5 [안락동 419-40] 위 치 : 충렬사역에서 3분(210m) 테이블 수 : 전체 9  입식 5   주메뉴 : 등심구이 특이사항 : 음식점 공간 좁음	입식테이블|음식점	http://www.wheelbusan.or.kr/board/file/download?board_number=540	2018-06-15 16:46",,,,
"12	관광지 주변우수업체	부산시민공원	외식1번가	상 호 (전화번호) : 외식1번가 (051-816-0007) 주 소 : 부산진구 신천대로 222 위 치 : 부암역 4번출구에서 10분 테이블 수 : 전체 25  입식 25  주메뉴 : 갈비살 양념구이	입식테이블|음식점|경사로|이용가능시설|자동문|장애인전용 주차구역	http://www.wheelbusan.or.kr/board/file/download?board_number=536	2018-06-15 16:42",,,,
