SKEY,SE,LC_SE_NM,CMPNM,DETAIL_INFO,CVNTL_KND_NM,IMAGE_URL,WRITNG_DE
1,도시철도 음식점,동해선,재성밀면 일광점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
2,관광지 음식점,송도,송도돼지국밥,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,자동문,엘리베이터",http://www.wheelbusan.or.kr/board/list/400a02?init,
3,관광지 음식점,송도,뜨란채,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"장애인화장실,장애인전용주차구역,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/400a02?init,
4,관광지 음식점,송도,달콤커피 부산송도케이블카점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"장애인화장실,장애인전용주차구역,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/400a02?init,
5,관광지 음식점,영도대교/남포동/광복동,미진축산 부평점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,경사로,이용가능시설",http://www.wheelbusan.or.kr/board/list/400a02?init,
6,관광지 음식점,성지곡유원지,대공원칼국수&수제비,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/400a02?init,
7,관광지 음식점,UN기념공원,파리바게뜨 부산유엔점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,경사로,이용가능시설,자동문",http://www.wheelbusan.or.kr/board/list/400a02?init,
8,관광지 음식점,광안리,김가네 민락수변공원점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"자동문,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/400a02?init,
9,도시철도 음식점,1호선,예스밥상,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,입식테이블,음식점",http://www.wheelbusan.or.kr/board/list/200a01?init,
10,도시철도 음식점,1호선,치킨신드롬 부산역점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
11,도시철도 음식점,김해 경전철,짜장먹을래짬뽕먹을래,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
12,도시철도 음식점,2호선,터미널푸드코트,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설,자동문,장애인전용주차구역,엘리베이터,장애인화장실",http://www.wheelbusan.or.kr/board/list/200a01?init,
13,도시철도 음식점,1호선,얌샘김밥 부산장림점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"입식테이블,음식점,이용가능시설",http://www.wheelbusan.or.kr/board/list/200a01?init,
14,도시철도 음식점,2호선,목촌돼지국밥 사상점,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"음식점,이용가능시설,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
15,도시철도 음식점,3호선,토종가흑임자삼계탕,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"엘리베이터,자동문,이용가능시설,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
16,도시철도 음식점,동해선,영월목장,출처: (사)부산장애인여가활동지원협회(T:051-783-8308) 홈페이지:www.wheelbusan.or.kr,"이용가능시설,경사로,음식점,입식테이블",http://www.wheelbusan.or.kr/board/list/200a01?init,
