PLC_NM,CTPR_NM,CARD_USE_AMT,CARD_UTILIIZA_CAS_CO,BASE_QUARTER
BIFF광장&용두산공원&보수동책방골목,경남,638753571,30244,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,경기,385638884,20400,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,서울,326921210,19243,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,울산,158627000,7658,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,경북,119875199,6126,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,인천,84851132,5231,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,대구,79901854,4699,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,충남,47769159,2640,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,충북,48829580,2636,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,전남,50066867,2481,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,강원,50096707,2300,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,대전,43691535,2055,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,전북,26865634,1585,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,제주,26661231,1355,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,광주,23018387,1305,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,세종,11975620,525,2020년 1분기
감천문화마을,경기,83685651,8245,2020년 1분기
감천문화마을,서울,76820333,6866,2020년 1분기
감천문화마을,인천,17633554,1746,2020년 1분기
감천문화마을,경남,35984576,1576,2020년 1분기
감천문화마을,충북,10381095,1050,2020년 1분기
감천문화마을,경북,10483483,935,2020년 1분기
감천문화마을,대구,9750558,880,2020년 1분기
감천문화마을,강원,9801456,860,2020년 1분기
감천문화마을,충남,10566512,830,2020년 1분기
감천문화마을,대전,6069870,670,2020년 1분기
감천문화마을,전북,6428585,545,2020년 1분기
감천문화마을,울산,9460740,535,2020년 1분기
감천문화마을,광주,4837956,390,2020년 1분기
감천문화마을,전남,3947540,335,2020년 1분기
감천문화마을,제주,2424250,230,2020년 1분기
감천문화마을,세종,2029520,210,2020년 1분기
광안리해수욕장,서울,1499348403,59552,2020년 1분기
광안리해수욕장,경기,1408721424,56155,2020년 1분기
광안리해수욕장,경남,1250203201,42957,2020년 1분기
광안리해수욕장,대구,459732499,17687,2020년 1분기
광안리해수욕장,경북,443864947,13759,2020년 1분기
