PLC_NM,NTN_NM,CARD_USE_AMT,CARD_UTILIIZA_CAS_CO,BASE_QUARTER
BIFF광장&용두산공원&보수동책방골목,괌,12200,1,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,남아프리카공화국,74400,5,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,네덜란드,674600,22,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,노르웨이,1067520,28,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,뉴질랜드,614500,30,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,대만,159608606,2703,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,덴마크,277800,16,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,독일,1728868,92,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,라오스,156220,1,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,러시아,13883821,518,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,루마니아,35000,5,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,마카오,1469090,12,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,말레이시아,14172925,293,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,멕시코,425000,19,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,모로코,12800,1,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,미국,48896670,1477,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,벨라루스,14740,2,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,버뮤다,936370,23,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,베트남,6350408,52,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,벨기에,855600,6,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,보스니아헤르체고비치,7000,1,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,불가리아,8000,1,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,브라질,964180,28,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,브루나이드루살렘,230300,10,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,사우디아라비아,175300,8,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,스웨덴,235600,14,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,스위스,223400,16,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,스페인,503200,27,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,슬로바키아,128800,2,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,슬로베니아,11000,3,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,싱가폴,12343320,224,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,아랍에미레이트,336200,11,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,아르헨티나,307540,4,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,아일랜드,139300,2,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,에스토니아,39900,2,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,에콰도르,119500,2,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,영국,4873632,115,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,오스트리아,191300,6,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,온두라스,8000,1,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,우크라이나,220700,5,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,이스라엘,143100,3,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,이탈리아,557170,38,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,인도네시아,5490407,133,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,인도네시아,1338770,20,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,일본,226489999,5228,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,조지아,96200,1,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,중국,53957560,864,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,체코,106300,9,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,칠레,350385,9,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,카자흐스탄,40150,6,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,카타르,63000,2,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,캐나다,929040,48,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,케냐,20000,2,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,코스타리카,14350,2,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,콜롬비아,84800,8,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,쿠웨이트,189400,2,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,크로아티아,34100,4,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,태국,16107500,335,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,터키,175800,7,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,파나마,31950,4,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,포르투갈,64000,5,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,폴란드,81600,8,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,푸에르토리코,50500,1,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,프랑스,2046110,102,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,핀란드,170600,16,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,필리핀,1597650,33,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,헝가리,38100,3,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,호주,9202976,330,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,홍콩,15292413,251,2020년 1분기
감천문화마을,괌,154000,3,2020년 1분기
감천문화마을,그리스,39000,4,2020년 1분기
감천문화마을,남아프리카공화국,28000,1,2020년 1분기
감천문화마을,네덜란드,129400,12,2020년 1분기
감천문화마을,노르웨이,35000,5,2020년 1분기
감천문화마을,뉴질랜드,255500,22,2020년 1분기
감천문화마을,대만,21776580,1371,2020년 1분기
감천문화마을,덴마크,8500,2,2020년 1분기
감천문화마을,독일,557100,38,2020년 1분기
감천문화마을,러시아,1037210,95,2020년 1분기
감천문화마을,마카오,20000,2,2020년 1분기
감천문화마을,말레이시아,1972150,120,2020년 1분기
감천문화마을,멕시코,340300,13,2020년 1분기
감천문화마을,몽골,9000,1,2020년 1분기
감천문화마을,미국,6179780,475,2020년 1분기
감천문화마을,버뮤다,18500,3,2020년 1분기
감천문화마을,베트남,241100,16,2020년 1분기
감천문화마을,벨기에,56500,9,2020년 1분기
감천문화마을,브라질,93600,12,2020년 1분기
감천문화마을,브루나이드루살렘,43000,2,2020년 1분기
감천문화마을,사우디아라비아,12500,2,2020년 1분기
감천문화마을,스웨덴,226300,19,2020년 1분기
감천문화마을,스위스,193100,18,2020년 1분기
감천문화마을,스페인,556400,34,2020년 1분기
감천문화마을,슬로베니아,5000,1,2020년 1분기
감천문화마을,싱가폴,1965080,117,2020년 1분기
감천문화마을,아랍에미레이트,150000,6,2020년 1분기
감천문화마을,아르헨티나,10000,1,2020년 1분기
감천문화마을,에콰도르,120000,2,2020년 1분기
감천문화마을,엘살바도르,18000,2,2020년 1분기
감천문화마을,영국,828000,90,2020년 1분기
감천문화마을,오스트리아,34300,3,2020년 1분기
감천문화마을,이스라엘,12000,1,2020년 1분기
감천문화마을,이탈리아,270400,30,2020년 1분기
감천문화마을,인도네시아,1748150,68,2020년 1분기
감천문화마을,인도네시아,191000,15,2020년 1분기
감천문화마을,일본,10600390,732,2020년 1분기
감천문화마을,중국,17799554,900,2020년 1분기
감천문화마을,체코,37700,7,2020년 1분기
감천문화마을,칠레,50000,3,2020년 1분기
감천문화마을,카자흐스탄,88500,8,2020년 1분기
감천문화마을,캐나다,214500,28,2020년 1분기
감천문화마을,콜롬비아,56000,4,2020년 1분기
감천문화마을,태국,1273630,72,2020년 1분기
감천문화마을,파키스탄,64500,2,2020년 1분기
감천문화마을,폴란드,7000,1,2020년 1분기
감천문화마을,프랑스,892100,93,2020년 1분기
감천문화마을,핀란드,46500,6,2020년 1분기
감천문화마을,필리핀,395500,18,2020년 1분기
감천문화마을,헝가리,27800,3,2020년 1분기
감천문화마을,호주,2794930,272,2020년 1분기
감천문화마을,홍콩,1992600,79,2020년 1분기
광안리해수욕장,네덜란드,105600,5,2020년 1분기
광안리해수욕장,노르웨이,290200,14,2020년 1분기
광안리해수욕장,대만,159700,9,2020년 1분기
광안리해수욕장,덴마크,100000,1,2020년 1분기
광안리해수욕장,독일,176700,12,2020년 1분기
광안리해수욕장,라오스,7000,1,2020년 1분기
광안리해수욕장,러시아,478300,18,2020년 1분기
광안리해수욕장,루마니아,41000,2,2020년 1분기
광안리해수욕장,리투아니아,2660,1,2020년 1분기
광안리해수욕장,말레이시아,132900,8,2020년 1분기
광안리해수욕장,멕시코,354550,21,2020년 1분기
광안리해수욕장,몽골,37700,2,2020년 1분기
광안리해수욕장,미국,75151547,1552,2020년 1분기
광안리해수욕장,미얀마,9000,1,2020년 1분기
광안리해수욕장,바하마,127300,2,2020년 1분기
광안리해수욕장,베네수엘라,79500,2,2020년 1분기
광안리해수욕장,베트남,744700,17,2020년 1분기
광안리해수욕장,벨기에,27600,2,2020년 1분기
광안리해수욕장,보스니아헤르체고비치,312000,1,2020년 1분기
광안리해수욕장,브라질,49600,3,2020년 1분기
광안리해수욕장,사우디아라비아,24900,2,2020년 1분기
광안리해수욕장,스웨덴,555350,10,2020년 1분기
광안리해수욕장,스위스,50900,2,2020년 1분기
광안리해수욕장,스페인,59720,7,2020년 1분기
광안리해수욕장,슬로바키아,64400,3,2020년 1분기
광안리해수욕장,싱가폴,67968671,340,2020년 1분기
광안리해수욕장,사이프러스,15000,1,2020년 1분기
광안리해수욕장,아랍에미레이트,48400,2,2020년 1분기
광안리해수욕장,아르헨티나,34500,3,2020년 1분기
광안리해수욕장,아일랜드,58500,2,2020년 1분기
광안리해수욕장,에스토니아,10500,1,2020년 1분기
광안리해수욕장,영국,15314300,177,2020년 1분기
광안리해수욕장,오만,70900,1,2020년 1분기
광안리해수욕장,오스트리아,97500,2,2020년 1분기
광안리해수욕장,우크라이나,13300,1,2020년 1분기
광안리해수욕장,이스라엘,63720,4,2020년 1분기
광안리해수욕장,이탈리아,335900,9,2020년 1분기
광안리해수욕장,인도네시아,394700,6,2020년 1분기
광안리해수욕장,인도네시아,332000,3,2020년 1분기
광안리해수욕장,일본,4237115,62,2020년 1분기
광안리해수욕장,중국,1176739,24,2020년 1분기
