PLC_NM,CTPR_NM,CARD_USE_AMT,CARD_UTILIIZA_CAS_CO,BASE_QUARTER
센텀시티,경남,30733192264.0,155598,2021년 1분기
서면,경남,21897464762.0,285711,2021년 1분기
센텀시티,울산,10632083997.0,52094,2021년 1분기
센텀시티,서울,6001750832.0,66009,2021년 1분기
센텀시티,대구,5282961213.0,23570,2021년 1분기
센텀시티,경북,4758488931.0,26112,2021년 1분기
센텀시티,경기,4003317766.0,45746,2021년 1분기
서면,울산,3300508496.0,51593,2021년 1분기
서면,서울,3046097880.0,89837,2021년 1분기
센텀시티,광주,2987653023.0,6999,2021년 1분기
센텀시티,전남,2943212447.0,9586,2021년 1분기
서면,경기,2521739794.0,68444,2021년 1분기
서면,경북,2484579886.0,38804,2021년 1분기
부평깡통시장,경남,1540672375.0,31835,2021년 1분기
해운대해수욕장,서울,1424433289.0,31018,2021년 1분기
해운대해수욕장,경기,1132937881.0,26871,2021년 1분기
서면,대구,968467598.0,22855,2021년 1분기
센텀시티,전북,949167439.0,3242,2021년 1분기
부평깡통시장,경기,922264647.0,28176,2021년 1분기
부평깡통시장,서울,865786374.0,26204,2021년 1분기
서면,전남,764460260.0,12103,2021년 1분기
센텀시티,제주,710865869.0,3657,2021년 1분기
해운대해수욕장,경남,695680914.0,12689,2021년 1분기
해운대해수욕장,대구,674039640.0,7268,2021년 1분기
센텀시티,인천,651774279.0,7633,2021년 1분기
센텀시티,대전,630025161.0,5010,2021년 1분기
전포카페거리,경남,587650087.0,22842,2021년 1분기
서면,인천,555685911.0,15880,2021년 1분기
센텀시티,충북,504943286.0,4069,2021년 1분기
누리마루APEC하우스,서울,438192385.0,7004,2021년 1분기
센텀시티,충남,397853568.0,4525,2021년 1분기
서면,충남,397814965.0,9154,2021년 1분기
서면,대전,389756807.0,7809,2021년 1분기
부평깡통시장,울산,387806262.0,8700,2021년 1분기
서면,충북,381338006.0,8725,2021년 1분기
누리마루APEC하우스,경기,348882508.0,5448,2021년 1분기
서면,광주,333972673.0,5927,2021년 1분기
서면,강원,323617652.0,6552,2021년 1분기
센텀시티,강원,315833810.0,3834,2021년 1분기
서면,제주,309829464.0,8354,2021년 1분기
해운대해수욕장,울산,290881374.0,5688,2021년 1분기
송도해수욕장,경기,285908873.0,12174,2021년 1분기
마린시티 카페거리,서울,283450011.0,7290,2021년 1분기
부평깡통시장,경북,276689721.0,6900,2021년 1분기
송도해수욕장,서울,253670391.0,10805,2021년 1분기
보수동책방골목,경남,244582882.0,10501,2021년 1분기
전포카페거리,서울,222490866.0,11147,2021년 1분기
해운대해수욕장,경북,207887719.0,4076,2021년 1분기
이기대 몽돌해변,경남,202394207.0,4206,2021년 1분기
마린시티 카페거리,경기,201525316.0,5131,2021년 1분기
부평깡통시장,대구,199966383.0,5735,2021년 1분기
부평깡통시장,인천,196934122.0,6181,2021년 1분기
센텀시티,세종,193931332.0,1535,2021년 1분기
해운대해수욕장,인천,181283278.0,4949,2021년 1분기
서면,전북,173534671.0,4982,2021년 1분기
전포카페거리,울산,166351827.0,6451,2021년 1분기
전포카페거리,경기,156503086.0,7232,2021년 1분기
송도해수욕장,경남,153137672.0,7819,2021년 1분기
보수동책방골목,서울,141766991.0,8784,2021년 1분기
누리마루APEC하우스,경남,138382318.0,2045,2021년 1분기
부평깡통시장,충남,137109291.0,2896,2021년 1분기
서면,세종,134909659.0,1510,2021년 1분기
보수동책방골목,경기,133599479.0,7891,2021년 1분기
부평깡통시장,충북,125195155.0,3447,2021년 1분기
해운대해수욕장,광주,120781843.0,2646,2021년 1분기
다대포해수욕장,경남,120409722.0,7377,2021년 1분기
해운대해수욕장,대전,117617932.0,2360,2021년 1분기
부평깡통시장,전남,111524364.0,2365,2021년 1분기
마린시티 카페거리,경남,101412202.0,2896,2021년 1분기
부평깡통시장,대전,97669977.0,2676,2021년 1분기
해운대해수욕장,충북,96607824.0,2471,2021년 1분기
해운대해수욕장,충남,96566321.0,2136,2021년 1분기
해운대해수욕장,전남,87666914.0,1440,2021년 1분기
송도해수욕장,대구,81997650.0,3485,2021년 1분기
부평깡통시장,제주,81138838.0,1330,2021년 1분기
전포카페거리,경북,79853252.0,4816,2021년 1분기
이기대 몽돌해변,서울,78129917.0,1475,2021년 1분기
누리마루APEC하우스,대구,77313116.0,1220,2021년 1분기
해운대해수욕장,전북,72239492.0,1540,2021년 1분기
부평깡통시장,강원,69191001.0,1885,2021년 1분기
부평깡통시장,전북,67975690.0,1860,2021년 1분기
누리마루APEC하우스,대전,65406705.0,505,2021년 1분기
전포카페거리,전남,64922665.0,1651,2021년 1분기
송정해수욕장,경남,63851712.0,6173,2021년 1분기
송도해수욕장,인천,63504954.0,3614,2021년 1분기
부평깡통시장,광주,60794180.0,1606,2021년 1분기
전포카페거리,대구,60511324.0,3117,2021년 1분기
보수동책방골목,울산,58687574.0,2901,2021년 1분기
송도해수욕장,울산,56190497.0,2751,2021년 1분기
송도해수욕장,경북,55629391.0,2457,2021년 1분기
누리마루APEC하우스,울산,51983108.0,1021,2021년 1분기
마린시티 카페거리,대구,48239279.0,1295,2021년 1분기
해운대해수욕장,강원,48191037.0,1170,2021년 1분기
다대포해수욕장,서울,47767375.0,3017,2021년 1분기
송정해수욕장,경기,46478334.0,3256,2021년 1분기
해운대해수욕장,세종,43606155.0,845,2021년 1분기
송정해수욕장,서울,42446837.0,3240,2021년 1분기
다대포해수욕장,경기,39831925.0,2545,2021년 1분기
일광해수욕장,경남,38987712.0,1741,2021년 1분기
보수동책방골목,경북,38901963.0,1990,2021년 1분기
흰여울문화마을,서울,38789461.0,3271,2021년 1분기
감천문화마을,서울,38137445.0,2880,2021년 1분기
누리마루APEC하우스,인천,37853967.0,780,2021년 1분기
마린시티 카페거리,경북,37454801.0,915,2021년 1분기
마린시티 카페거리,울산,36634887.0,1090,2021년 1분기
해운대해수욕장,제주,35808935.0,730,2021년 1분기
흰여울문화마을,경기,34597926.0,2821,2021년 1분기
이기대 몽돌해변,경기,34240713.0,1163,2021년 1분기
태종대,경남,33051255.0,1217,2021년 1분기
보수동책방골목,인천,31963039.0,1995,2021년 1분기
태종대,경기,31775679.0,1945,2021년 1분기
