SKEY,FSTVL_NM,OPMT_PLACE,FSTVL_BGNDE,FSTVL_ENDDE,FSTVL_CN,MNNST,AUSPC_INSTT,SUPRT_INSTT,TELNO,HMPG,RELATE_INFO,RDNMADR,LNM_ADRES,LA,LO,DATA_STDDE
1,제20회광안리어방축제,광안리해변 일원,2021-04-23,2021-04-25,"뮤지컬어방, 경상좌수사행렬, 어방그물끌기 한마당, 진두어화, 어방민속마을 등 6개분야 40종목",수영구축제위원회,수영구,-,051-610-4062,http://www.suyeong.go.kr/eobang/,-,부산광역시 수영구 광안해변로 219,-,35.15377436,129.1185216,2020-12-30
2,부산고등어축제(취소),송도해수욕장 및 부산공동어시장 일원,2020-10-23,2020-10-25,코로나19 확산 차단을 위해 축제 취소,(사)부산서구문화원,부산광역시 서구+대형선망수협,"부산광역시, 부산공동어시장, 수협중앙회, 부산은행, 부산광역시교육청, 부산광역시서부교육지원청",051-240-4062,http://www.busangde.co.kr,"송도해수욕장, 부산공동어시장, 송도구름산책로, 송도해상케이블카, 송도오토캠핑장, 송도해안볼레길, 암남공원",부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,35.07682117,129.0180502,2020-11-06
3,현인가요제,부산 KBS홀,2020-11-28,2020-11-28,"무관중 개최(출연진만 참석, KBS부산 방송 송출), (오전)예선 / (오후)본선",(사)한국연예예술인협회,(사)한국연예예술인협회,"부산광역시, 부산광역시 서구, (사)부산서구문화원",02-2655-3157,http://culture.bsseogu.go.kr,"송도해수욕장, 송도구름산책로, 송도해상케이블카, 송도오토캠핑장, 송도해안볼레길, 암남공원",부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,35.07682117,129.0180502,2020-11-06
4,2019 오륙도 평화축제,평화공원(대연동),2019-10-19,2019-10-20,"무대공연, 부대행사, 오륙도 평화가족가요제",부산광역시 남구,부산광역시 남구,-,-,-,-,부산광역시 남구 대연동 707번지,-,-,-,2021-05-14
5,제12회 삼락벚꽃축제,삼락생태공원,2021-03-27,2021-03-28,삼락벚꽃축제,삼락동,사상구,-,051-310-3002,-,코로나 19 관련 행사 취소,부산광역시 사상구 낙동대로 1310번길 19(삼락동),-,35.17701002,128.9776397,2021-03-23
6,제19회 사상강변축제,삼락생태공원,2021-09-11,2021-09-12,사상강변축제,사상문화원,사상구,-,051-310-4062,http://www.sasangculture.or.kr/,코로나 19 관련 행사 연기(3월→9월),부산광역시 사상구 낙동대로 1310번길 19(삼락동),-,35.17701002,128.9776397,2021-03-23
7,제20회 사상전통달집놀이,삼락생태공원,2021-02-26,2021-02-26,사상전통달집 놀이,사상문화원,사상구,-,051-310-4062,http://www.sasangculture.or.kr/,코로나 19 관련 행사 취소,부산광역시 사상구 낙동대로 1310번길 19(삼락동),-,35.17701002,128.9776397,2021-03-23
8,2020년 연제 가을 온라인 축제,연제구청 유튜브,2020-10-19,2020-10-31,온라인 실시간 스트리밍 6개분야 48개 프로그램 운영,부산광역시 연제구,부산광역시 연제구,-,051-665-4062,-,연제구청 유튜브,"부산광역시 연제구 연제로 2(연산동, 연제구청)",-,35.1762117404,129.0797456059,2020-12-14
9,제15회 차성문화제,기장중학교 일원,2019-10-12,2019-10-13,"전통문화체험, 차성가 연극 및 공연, 차성가 콘서트 등",차성문화제추진위원회,차성문화제추진위원회,부산광역시 기장군청,051-709-4062,http://www.gijang.go.kr/tour/index.gijang,-,부산광역시 기장군 기장읍 읍내로 120,부산광역시 기장군 기장읍 대라리 40,35.2448828028,129.2183134038,2019-09-23
10,제11회서면우리문화축제,부산시민공원,2020-12-18,2021-01-04,"전통등, 동지트리 등 비대면 축제",부산광역시 부산진구청,부산광역시 부산진구청,-,051-605-4064,http://tour.busanjin.go.kr,-,부산광역시 부산진구 시민공원로 73 (범전동),부산광역시 부산진구 범전동 200,35.16545561,129.0558558,2021-05-17
