pId,tagType,hashTag
7,GRP,아이
7,GRP,가족
7,GRP,커플
7,SEASON,가을
7,SEASON,봄
7,IEM,자연
7,IEM,공원
7,IEM,걷기
7,CL,도시
7,CL,바다
8,GRP,아이
8,GRP,가족
8,GRP,친구
8,GRP,커플
8,SEASON,여름
8,SEASON,가을
8,SEASON,봄
8,SEASON,겨울
8,IEM,자연
8,IEM,걷기
8,CL,바다
9,GRP,아이
9,GRP,가족
9,GRP,커플
9,SEASON,가을
9,SEASON,봄
9,IEM,자연
9,IEM,공원
9,IEM,걷기
9,CL,도시
9,CL,바다
10,GRP,아이
10,GRP,가족
10,SEASON,여름
10,SEASON,가을
10,SEASON,봄
10,IEM,자연
10,IEM,걷기
10,CL,산
11,GRP,부모
11,GRP,아이
11,GRP,가족
11,GRP,친구
11,GRP,커플
11,GRP,혼자
11,SEASON,여름
11,SEASON,가을
11,SEASON,봄
11,SEASON,겨울
11,IEM,자연
11,IEM,이색여행
11,IEM,공원
11,IEM,걷기
11,CL,기타
12,GRP,부모
12,GRP,아이
12,GRP,가족
12,GRP,친구
12,GRP,커플
12,GRP,혼자
12,SEASON,여름
12,SEASON,가을
12,SEASON,봄
12,SEASON,겨울
12,IEM,자연
12,IEM,이색여행
12,IEM,공원
12,IEM,걷기
12,CL,기타
13,GRP,부모
13,GRP,아이
13,GRP,가족
13,GRP,친구
13,GRP,커플
13,GRP,혼자
13,SEASON,여름
13,SEASON,가을
13,SEASON,봄
13,SEASON,겨울
13,IEM,자연
13,IEM,이색여행
13,IEM,공원
13,IEM,걷기
13,CL,기타
14,GRP,아이
14,GRP,가족
14,GRP,커플
14,SEASON,가을
14,SEASON,봄
14,IEM,자연
14,IEM,공원
14,IEM,걷기
14,CL,도시
14,CL,바다
15,GRP,부모
15,GRP,아이
15,GRP,가족
15,GRP,친구
15,GRP,커플
15,GRP,혼자
15,SEASON,여름
15,SEASON,가을
15,SEASON,봄
15,IEM,자연
15,IEM,걷기
15,CL,기타
16,GRP,부모
16,GRP,아이
16,GRP,가족
16,GRP,친구
16,GRP,커플
16,GRP,혼자
16,SEASON,여름
16,SEASON,가을
16,SEASON,봄
16,IEM,자연
16,IEM,걷기
16,CL,기타
17,GRP,아이
17,GRP,가족
17,GRP,커플
17,SEASON,가을
17,SEASON,봄
17,IEM,자연
17,IEM,공원
17,IEM,걷기
17,CL,도시
17,CL,바다
18,GRP,아이
18,GRP,가족
18,GRP,친구
18,GRP,커플
18,SEASON,여름
18,SEASON,가을
18,SEASON,봄
18,SEASON,겨울
18,IEM,자연
18,IEM,걷기
18,CL,바다
19,GRP,아이
19,GRP,가족
19,GRP,커플
19,SEASON,가을
19,SEASON,봄
19,IEM,자연
19,IEM,공원
19,IEM,걷기
19,CL,도시
19,CL,바다
20,GRP,부모
20,GRP,아이
20,GRP,가족
20,GRP,친구
20,GRP,커플
20,SEASON,여름
20,SEASON,가을
20,SEASON,봄
20,SEASON,겨울
20,IEM,쇼핑
20,CL,도시
21,GRP,아이
21,GRP,가족
