PLACE_NM,pId,TRRSRT_ROAD_NM_ADDR,TRNSPORT_INFO_CN,CRSLK_ADDR,CRSLK_ROAD_NM,CHILD_PRTC_ZONE_AT,CRSLK_LA,CRSLK_LO
용소웰빙공원,7,부산 기장군 기장읍 서부리 산7-2,"동해선 기장역 1번 출구, 39번 버스 환승 기장초등학교 하차 도보 12분",부산 기장군 기장읍 서부리 77-7,읍내로,Y,35.24592,129.20934
사상근린공원,10,부산광역시 사상구 백양대로 570 일원,"도시철도 2호선 감전역 2번 출구 도보 10분, 버스 129-1, 133, 169-1 사상근린공원 하차 도보 3분, 주차 사상근린공원 주차장",부산 사상구 감전동 307-4,백양대로,Y,35.15819,128.99294
을숙도생태공원,11,부산광역시 사하구 낙동남로 1240,"도시철도 1호선 하단역 3번 출구 → 3, 55, 58, 58-2, 168, 520, 1005, 2000, 58-1, 221 버스 환승 을숙도(문화회관) 하차 도보 10분/ 주차 을숙도 공영주차장",부산 사하구 하단동 1149-13,낙동남로,N,35.10801,128.94594
삼락생태공원,12,부산광역시 사상구 삼락동 686 삼락생태공원,"부산김해경전철 괘법 르네시뗴 역 1번 출구 도보 16분 버스 123, 126 삼락생태공원 하차 도보 7분",부산 사상구 삼락동 438,낙동대로,Y,35.1701,128.97684
대저생태공원,13,부산광역시 강서구 대저1동 1-12번지,"도시철도 3호선 강서구청역 3번 출구 → 강서구청역 정류장 버스 125번 환승 → 부산혜원학교 하차 도보 8분, 주차 대저생태공원 공영주차장",부산 강서구 대저1동 2892-1,공항로,N,35.20109,128.97008
신평소공원,14,부산광역시 기장군 일광면 신평리 11-1,"도시철도 2호선 센텀시티역 하차 - 버스 181번 환승 - 기장시장 하차 -마을버스 기장군3, 기장군8-1 - 신평 하차 도보 4분, 주차 신평소공원 주차장(5대 주차 가능)",부산 기장군 일광면 신평리 29-2,일광로,N,35.29487,129.25933
감천문화마을,16,부산광역시 사하구 감내2로 203,"도시철도 1호선 괴정역 6번 출구 → 마을버스 환승 사하1, 사하1-1 → 감정초등학교 하차 도보 5분, 1호선 토성역 6번 출구 → 마을버스 환승 사하1-1, 서구2, 서구2-2 → 감정초등학교 하차 도보 5분, 주차 감천2공영주차장",부산 사하구 감천동 13-1231,옥천로,N,35.09736,129.01057
아미동 비석문화마을,28,부산 서구 아미동2가 213-39,"도시철도 1호선 토성역 8번 출구 도보 15분, 마을버스 사하구1-1 서구2 산상교회(비석문화마을) 하차, 주차 아미골 공영주차장",부산 사하구 감천동 10-140,옥천로,N,35.09717,129.01019
한국신발관,29,부산광역시 부산진구 백양대로 227,"도시철도 2호선 개금역 2번 출구 → 개금초등학교 정류장 → 버스 169, 167, 160, 138-1 환승 → 한국신발관 하차, 주차 한국신발관 주차장",부산 부산진구 개금동 354-3,백양대로,Y,35.15569,129.02248
구덕문화공원,30,부산광역시 서구 꽃마을로163번길 73,"도시철도 1호선 서대신역 4번 출구 → 마을버스 서구1 환승 → 구덕꽃마을 하차 도보 10분, 주차 구덕문화공원 주차장",부산 서구 서대신동3가 8-19,꽃마을로,Y,35.12756,129.00722
동래시장,31,부산광역시 동래구 동래시장길 14,"도시철도 4호선 수안역 7번 출구 도보 5분, 버스 100, 110-1, 동래구2 동래시장 하차, 주차 동래시장 공영주차장(유료)",부산 동래구 복천동 230-1,명륜로,Y,35.20336,129.08539
부산어촌민속관,33,부산광역시 북구 학사로 128,"도시철도 2호선 화명역 1번 출구 도보 12분, 버스 111, 121, 126, 15, 59, 금정구1, 북구3 와석 하차 도보 11분, 주차 부산어촌민속관 주차장",부산광역시 북구 학사로 128,학사로,Y,35.23369,129.0088
박차정의사 생가,34,부산광역시 동래구 명륜로98번길 129-10,"도시철도 4호선 낙민역 1번 출구 도보 4분, 버스 100, 110-1, 129-1, 144, 148, 200, 210, 29, 31, 43, 44, 49, 57 동래시장 하차",부산 동래구 낙민동 231,충렬대로,Y,35.20111,129.08903
부산시청자미디어센터,36,부산광역시 해운대구 센텀중앙로 42,"도시철도 2호선 센텀시티역 4번 출구 도보 7분, 버스 115, 181, 307, 해운대구3-1, 해운대구3-2 시청자미디어센터 하차, 주차 부산시청자미디어센터 주차장",부산 해운대구 우동 1524,센텀중앙로,N,35.17032,129.13421
해운대시장,37,부산광역시 해운대구 구남로41번길 22-1,"도시철도 2호선 해운대역 3번 출구 도보 7분, 버스 100, 115-1, 141, 200, 307, 39 해운대시장 하차",부산 해운대구 중동 1372-3,구남로,N,35.16059,129.16144
