PLC_NM,CTPR_NM,CARD_USE_AMT,CARD_UTILIIZA_CAS_CO,BASE_QUARTER
센텀시티(신세계센텀 등),경기,46311944451.0,82402,2020년 1분기
부산서면,경남,31497585461.0,596832,2020년 1분기
센텀시티(신세계센텀 등),경남,31008359968.0,230873,2020년 1분기
센텀시티(신세계센텀 등),울산,10473215983.0,76032,2020년 1분기
센텀시티(신세계센텀 등),서울,6505823886.0,104832,2020년 1분기
센텀시티(신세계센텀 등),경북,5409635078.0,39886,2020년 1분기
부산서면,울산,5407258748.0,119477,2020년 1분기
부산서면,서울,5377940898.0,172203,2020년 1분기
센텀시티(신세계센텀 등),대구,4479344222.0,94903,2020년 1분기
부산서면,경기,4219019922.0,137648,2020년 1분기
부산서면,경북,3756738234.0,81596,2020년 1분기
자갈치·국제시장·부평깡통야시장,경남,2282411774.0,52533,2020년 1분기
해운대해수욕장,서울,2174912163.0,49254,2020년 1분기
센텀시티(신세계센텀 등),전남,2169738561.0,12294,2020년 1분기
부산서면,대구,1986772750.0,50036,2020년 1분기
해운대해수욕장,경기,1683731818.0,42125,2020년 1분기
광안리해수욕장,서울,1499348403.0,59552,2020년 1분기
자갈치·국제시장·부평깡통야시장,경기,1481163273.0,43342,2020년 1분기
센텀시티(신세계센텀 등),광주,1431406844.0,9123,2020년 1분기
광안리해수욕장,경기,1408721424.0,56155,2020년 1분기
자갈치·국제시장·부평깡통야시장,서울,1368198385.0,40766,2020년 1분기
부산서면,전남,1280655619.0,27836,2020년 1분기
광안리해수욕장,경남,1250203201.0,42957,2020년 1분기
전포카페거리,경남,1103964796.0,51499,2020년 1분기
부산서면,인천,1020464910.0,31766,2020년 1분기
해운대해수욕장,경남,1003608957.0,23642,2020년 1분기
센텀시티(신세계센텀 등),전북,914593277.0,7245,2020년 1분기
센텀시티(신세계센텀 등),인천,853151077.0,13740,2020년 1분기
센텀시티(신세계센텀 등),제주,796470504.0,6732,2020년 1분기
부산서면,제주,773886914.0,16742,2020년 1분기
센텀시티(신세계센텀 등),충북,692449963.0,7817,2020년 1분기
센텀시티(신세계센텀 등),강원,669212411.0,7592,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,경남,638753571.0,30244,2020년 1분기
센텀시티(신세계센텀 등),충남,630023173.0,8326,2020년 1분기
부산서면,충남,613494176.0,16677,2020년 1분기
부산서면,강원,604981908.0,17216,2020년 1분기
자갈치·국제시장·부평깡통야시장,울산,587363198.0,13632,2020년 1분기
해운대해수욕장,대구,581534597.0,13718,2020년 1분기
센텀시티(신세계센텀 등),대전,564666077.0,8217,2020년 1분기
부산서면,충북,546045198.0,18487,2020년 1분기
부산서면,대전,541257186.0,15168,2020년 1분기
마린시티 카페거리,서울,529314663.0,12350,2020년 1분기
자갈치·국제시장·부평깡통야시장,경북,515691810.0,13155,2020년 1분기
해운대해수욕장,울산,468861950.0,9866,2020년 1분기
광안리해수욕장,대구,459732499.0,17687,2020년 1분기
동백섬&누리마루APEC하우스,서울,449656736.0,8968,2020년 1분기
마린시티 카페거리,경기,446429653.0,10238,2020년 1분기
광안리해수욕장,경북,443864947.0,13759,2020년 1분기
부산서면,전북,438164502.0,12237,2020년 1분기
송도해수욕장,경기,418760826.0,15591,2020년 1분기
자갈치·국제시장·부평깡통야시장,대구,404580386.0,10571,2020년 1분기
광안리해수욕장,울산,392488808.0,13629,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,경기,385638884.0,20400,2020년 1분기
부산서면,광주,374090380.0,12844,2020년 1분기
해운대해수욕장,경북,363451496.0,9037,2020년 1분기
자갈치·국제시장·부평깡통야시장,인천,349603878.0,9761,2020년 1분기
동백섬&누리마루APEC하우스,경기,339875949.0,8132,2020년 1분기
전포카페거리,서울,333175232.0,19357,2020년 1분기
송도해수욕장,서울,331005524.0,13453,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,서울,326921210.0,19243,2020년 1분기
해운대해수욕장,인천,323220795.0,8723,2020년 1분기
광안리해수욕장,인천,312367249.0,11883,2020년 1분기
오륙도&이기대 갈맷길,경남,301371061.0,6151,2020년 1분기
자갈치·국제시장·부평깡통야시장,충북,261509269.0,6917,2020년 1분기
송도해수욕장,경남,261104029.0,11279,2020년 1분기
전포카페거리,경기,242287776.0,13617,2020년 1분기
자갈치·국제시장·부평깡통야시장,충남,215914360.0,5330,2020년 1분기
광안리해수욕장,충북,208176717.0,8151,2020년 1분기
동백섬&누리마루APEC하우스,경남,208136049.0,3261,2020년 1분기
자갈치·국제시장·부평깡통야시장,전남,205816233.0,5243,2020년 1분기
마린시티 카페거리,경남,205154777.0,5356,2020년 1분기
전포카페거리,울산,201804774.0,12423,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",경남,201732369.0,12149,2020년 1분기
자갈치·국제시장·부평깡통야시장,대전,190166626.0,4995,2020년 1분기
해운대해수욕장,전남,185840826.0,3282,2020년 1분기
광안리해수욕장,대전,183709398.0,7421,2020년 1분기
해운대해수욕장,충북,176757442.0,5592,2020년 1분기
해운대해수욕장,광주,173256219.0,3938,2020년 1분기
자갈치·국제시장·부평깡통야시장,강원,171982529.0,4649,2020년 1분기
해운대해수욕장,대전,166883829.0,4526,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,울산,158627000.0,7658,2020년 1분기
광안리해수욕장,충남,152781658.0,5831,2020년 1분기
전포카페거리,경북,148857557.0,8054,2020년 1분기
해운대해수욕장,강원,147574269.0,3596,2020년 1분기
자갈치·국제시장·부평깡통야시장,전북,147285865.0,3620,2020년 1분기
자갈치·국제시장·부평깡통야시장,제주,139775433.0,2565,2020년 1분기
광안리해수욕장,전남,138484750.0,5010,2020년 1분기
센텀시티(신세계센텀 등),세종,134625231.0,2027,2020년 1분기
마린시티 카페거리,대구,129427635.0,2666,2020년 1분기
해운대해수욕장,충남,127197451.0,3681,2020년 1분기
마린시티 카페거리,경북,125530387.0,2052,2020년 1분기
자갈치·국제시장·부평깡통야시장,광주,121575731.0,3197,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,경북,119875199.0,6126,2020년 1분기
광안리해수욕장,광주,117847044.0,4498,2020년 1분기
송정해수욕장,경남,116245912.0,8180,2020년 1분기
송도해수욕장,대구,113897239.0,4255,2020년 1분기
광안리해수욕장,강원,112564183.0,4173,2020년 1분기
송도해수욕장,경북,110821715.0,3876,2020년 1분기
전포카페거리,대구,108800390.0,6081,2020년 1분기
부산서면,세종,107976953.0,3242,2020년 1분기
광안리해수욕장,전북,106462869.0,4025,2020년 1분기
오륙도&이기대 갈맷길,서울,102068694.0,2251,2020년 1분기
송도해수욕장,인천,101621214.0,3418,2020년 1분기
해운대해수욕장,전북,100910168.0,2802,2020년 1분기
동백섬&누리마루APEC하우스,대구,90201877.0,2139,2020년 1분기
마린시티 카페거리,울산,86219852.0,2270,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,인천,84851132.0,5231,2020년 1분기
감천문화마을,경기,83685651.0,8245,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,대구,79901854.0,4699,2020년 1분기
감천문화마을,서울,76820333.0,6866,2020년 1분기
흰여울문화마을,경기,76502701.0,4272,2020년 1분기
오륙도&이기대 갈맷길,경기,69845075.0,2731,2020년 1분기
동백섬&누리마루APEC하우스,울산,69222226.0,1643,2020년 1분기
일광해수욕장,경남,68507077.0,3264,2020년 1분기
마린시티 카페거리,충북,64808450.0,1870,2020년 1분기
송도해수욕장,충북,64689910.0,2102,2020년 1분기
동백섬&누리마루APEC하우스,경북,64664409.0,1276,2020년 1분기
태종대,경기,64159342.0,3488,2020년 1분기
마린시티 카페거리,인천,61565009.0,1446,2020년 1분기
마린시티 카페거리,전남,58873051.0,976,2020년 1분기
마린시티 카페거리,충남,58185331.0,1285,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",서울,57837929.0,3759,2020년 1분기
동백섬&누리마루APEC하우스,대전,57538889.0,815,2020년 1분기
마린시티 카페거리,대전,55471176.0,1310,2020년 1분기
태종대,서울,55380474.0,3102,2020년 1분기
송도해수욕장,대전,55184308.0,1681,2020년 1분기
광안리해수욕장,제주,55168207.0,1921,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",경기,53796168.0,3162,2020년 1분기
송정해수욕장,경기,51449112.0,3482,2020년 1분기
흰여울문화마을,서울,51250752.0,4402,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,강원,50096707.0,2300,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,전남,50066867.0,2481,2020년 1분기
송정해수욕장,서울,49663429.0,3068,2020년 1분기
송도해수욕장,충남,49451524.0,1611,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,충북,48829580.0,2636,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,충남,47769159.0,2640,2020년 1분기
전포카페거리,인천,47594297.0,3026,2020년 1분기
동백섬&누리마루APEC하우스,광주,46845009.0,740,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",울산,45944752.0,1660,2020년 1분기
송정해수욕장,울산,45500798.0,3565,2020년 1분기
전포카페거리,전남,44009709.0,2168,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,대전,43691535.0,2055,2020년 1분기
해운대해수욕장,제주,43411083.0,1025,2020년 1분기
해운대해수욕장,세종,42243500.0,1281,2020년 1분기
일광해수욕장,울산,41956364.0,1775,2020년 1분기
렛츠런파크,경기,40770173.0,135,2020년 1분기
마린시티 카페거리,강원,39917443.0,840,2020년 1분기
동백섬&누리마루APEC하우스,충남,39297818.0,691,2020년 1분기
전포카페거리,충북,39020238.0,2119,2020년 1분기
전포카페거리,강원,38925076.0,1440,2020년 1분기
전포카페거리,대전,38269438.0,1646,2020년 1분기
태종대,경남,38098284.0,1445,2020년 1분기
자갈치·국제시장·부평깡통야시장,세종,36716306.0,1137,2020년 1분기
동백섬&누리마루APEC하우스,인천,36505194.0,1450,2020년 1분기
감천문화마을,경남,35984576.0,1576,2020년 1분기
송도해수욕장,강원,35086163.0,1290,2020년 1분기
마린시티 카페거리,광주,34329221.0,690,2020년 1분기
동백섬&누리마루APEC하우스,충북,33741124.0,905,2020년 1분기
광안리해수욕장,세종,32583263.0,1080,2020년 1분기
송정해수욕장,대구,32579185.0,1685,2020년 1분기
마린시티 카페거리,세종,30447988.0,435,2020년 1분기
마린시티 카페거리,전북,30216682.0,615,2020년 1분기
송도해수욕장,전남,28875996.0,946,2020년 1분기
송도해수욕장,전북,27880715.0,951,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,전북,26865634.0,1585,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,제주,26661231.0,1355,2020년 1분기
전포카페거리,충남,25717324.0,1311,2020년 1분기
송도해수욕장,광주,25552728.0,982,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",경북,25548001.0,1490,2020년 1분기
흰여울문화마을,경남,24880472.0,2046,2020년 1분기
전포카페거리,제주,23670612.0,1012,2020년 1분기
송정해수욕장,경북,23516823.0,1256,2020년 1분기
오륙도&이기대 갈맷길,대구,23448571.0,740,2020년 1분기
오륙도&이기대 갈맷길,경북,23129116.0,780,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,광주,23018387.0,1305,2020년 1분기
오륙도&이기대 갈맷길,울산,22969896.0,1191,2020년 1분기
전포카페거리,광주,22386569.0,1275,2020년 1분기
태종대,대구,21624921.0,810,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",대구,21447740.0,1255,2020년 1분기
동백섬&누리마루APEC하우스,전북,21102029.0,550,2020년 1분기
송도해수욕장,울산,20928209.0,3505,2020년 1분기
오륙도&이기대 갈맷길,충북,20816048.0,250,2020년 1분기
송도해수욕장,제주,20777249.0,570,2020년 1분기
렛츠런파크,경남,20511200.0,2491,2020년 1분기
일광해수욕장,경기,19901881.0,900,2020년 1분기
일광해수욕장,서울,18967574.0,920,2020년 1분기
전포카페거리,전북,18749823.0,996,2020년 1분기
감천문화마을,인천,17633554.0,1746,2020년 1분기
동백섬&누리마루APEC하우스,강원,17465552.0,625,2020년 1분기
태종대,경북,16067613.0,555,2020년 1분기
동백섬&누리마루APEC하우스,전남,15127384.0,490,2020년 1분기
마린시티 카페거리,제주,14917611.0,260,2020년 1분기
태종대,인천,14282318.0,860,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",인천,13806355.0,590,2020년 1분기
일광해수욕장,대구,13019884.0,550,2020년 1분기
송도해수욕장,세종,12870149.0,670,2020년 1분기
BIFF광장&용두산공원&보수동책방골목,세종,11975620.0,525,2020년 1분기
태종대,울산,11919103.0,400,2020년 1분기
흰여울문화마을,인천,11638955.0,905,2020년 1분기
흰여울문화마을,대구,11229190.0,945,2020년 1분기
송정해수욕장,인천,10754464.0,610,2020년 1분기
감천문화마을,충남,10566512.0,830,2020년 1분기
감천문화마을,경북,10483483.0,935,2020년 1분기
오륙도&이기대 갈맷길,충남,10435186.0,494,2020년 1분기
송정해수욕장,충북,10407311.0,510,2020년 1분기
감천문화마을,충북,10381095.0,1050,2020년 1분기
일광해수욕장,경북,10060035.0,370,2020년 1분기
감천문화마을,강원,9801456.0,860,2020년 1분기
감천문화마을,대구,9750558.0,880,2020년 1분기
송정해수욕장,충남,9568408.0,3555,2020년 1분기
감천문화마을,울산,9460740.0,535,2020년 1분기
태종대,대전,9167979.0,465,2020년 1분기
오륙도&이기대 갈맷길,인천,8975189.0,565,2020년 1분기
부산시민공원,경남,8882390.0,635,2020년 1분기
흰여울문화마을,경북,8459726.0,680,2020년 1분기
동백섬&누리마루APEC하우스,제주,8354282.0,205,2020년 1분기
을숙도,경남,8028049.0,3006,2020년 1분기
오륙도&이기대 갈맷길,전남,7857588.0,250,2020년 1분기
태종대,충북,7106643.0,430,2020년 1분기
흰여울문화마을,울산,6975555.0,520,2020년 1분기
태종대,광주,6914555.0,280,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",전남,6818232.0,610,2020년 1분기
송정해수욕장,광주,6666766.0,390,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",강원,6636721.0,475,2020년 1분기
동백섬&누리마루APEC하우스,세종,6452201.0,240,2020년 1분기
감천문화마을,전북,6428585.0,545,2020년 1분기
태종대,강원,6285298.0,330,2020년 1분기
송정해수욕장,강원,6263682.0,485,2020년 1분기
오륙도&이기대 갈맷길,대전,6201232.0,355,2020년 1분기
흰여울문화마을,충북,6090408.0,531,2020년 1분기
감천문화마을,대전,6069870.0,670,2020년 1분기
전포카페거리,세종,5928965.0,310,2020년 1분기
오륙도&이기대 갈맷길,전북,5850056.0,225,2020년 1분기
태종대,충남,5832750.0,305,2020년 1분기
국립해양박물관,경남,5784066.0,528,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",충남,5694552.0,330,2020년 1분기
태종대,전북,5478660.0,250,2020년 1분기
태종대,전남,5394840.0,230,2020년 1분기
송정해수욕장,전남,5356105.0,346,2020년 1분기
송정해수욕장,대전,5355084.0,315,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",대전,5129573.0,320,2020년 1분기
오륙도&이기대 갈맷길,광주,5048348.0,195,2020년 1분기
감천문화마을,광주,4837956.0,390,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",광주,4806127.0,265,2020년 1분기
흰여울문화마을,대전,4493860.0,415,2020년 1분기
흰여울문화마을,전북,4390130.0,310,2020년 1분기
국립해양박물관,서울,4377933.0,295,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",충북,4297386.0,300,2020년 1분기
흰여울문화마을,충남,4265245.0,350,2020년 1분기
일광해수욕장,인천,4222745.0,180,2020년 1분기
감천문화마을,전남,3947540.0,335,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",제주,3924025.0,170,2020년 1분기
흰여울문화마을,전남,3896255.0,265,2020년 1분기
일광해수욕장,대전,3750275.0,95,2020년 1분기
흰여울문화마을,광주,3667440.0,300,2020년 1분기
국립해양박물관,경기,3658815.0,295,2020년 1분기
오륙도&이기대 갈맷길,강원,3624556.0,330,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",전북,3549782.0,180,2020년 1분기
오륙도&이기대 갈맷길,세종,3303608.0,155,2020년 1분기
흰여울문화마을,강원,3182065.0,260,2020년 1분기
"다대포 해수욕장(꿈의 낙조분수, 몰운대)",세종,3081014.0,80,2020년 1분기
송정해수욕장,전북,3022862.0,170,2020년 1분기
을숙도,서울,2914960.0,705,2020년 1분기
렛츠런파크,울산,2823990.0,350,2020년 1분기
일광해수욕장,전남,2756695.0,245,2020년 1분기
일광해수욕장,광주,2649605.0,100,2020년 1분기
일광해수욕장,충북,2619060.0,105,2020년 1분기
송정해수욕장,세종,2600245.0,105,2020년 1분기
일광해수욕장,충남,2495464.0,125,2020년 1분기
감천문화마을,제주,2424250.0,230,2020년 1분기
태종대,제주,2228250.0,80,2020년 1분기
태종대,세종,2225611.0,125,2020년 1분기
부산시민공원,경기,2166810.0,281,2020년 1분기
을숙도,경기,2075635.0,596,2020년 1분기
감천문화마을,세종,2029520.0,210,2020년 1분기
렛츠런파크,서울,1883640.0,200,2020년 1분기
렛츠런파크,대구,1738920.0,241,2020년 1분기
송정해수욕장,제주,1707204.0,95,2020년 1분기
일광해수욕장,전북,1688384.0,65,2020년 1분기
일광해수욕장,강원,1687575.0,80,2020년 1분기
부산시민공원,서울,1650875.0,226,2020년 1분기
국립해양박물관,경북,1614300.0,150,2020년 1분기
국립해양박물관,대구,1612935.0,85,2020년 1분기
부산시민공원,울산,1574540.0,221,2020년 1분기
을숙도,울산,1567170.0,460,2020년 1분기
부산시민공원,경북,1565850.0,225,2020년 1분기
국립해양박물관,충북,1291200.0,75,2020년 1분기
흰여울문화마을,제주,1211120.0,85,2020년 1분기
을숙도,경북,1076450.0,320,2020년 1분기
흰여울문화마을,세종,891645.0,70,2020년 1분기
렛츠런파크,경북,842310.0,110,2020년 1분기
국립해양박물관,충남,742875.0,85,2020년 1분기
을숙도,대구,708570.0,255,2020년 1분기
국립해양박물관,울산,683550.0,45,2020년 1분기
일광해수욕장,세종,584903.0,25,2020년 1분기
렛츠런파크,전남,516225.0,50,2020년 1분기
국립해양박물관,인천,493725.0,35,2020년 1분기
오륙도&이기대 갈맷길,제주,473995.0,55,2020년 1분기
국립해양박물관,대전,410475.0,60,2020년 1분기
일광해수욕장,제주,391480.0,30,2020년 1분기
을숙도,대전,368210.0,90,2020년 1분기
부산시민공원,대구,361715.0,50,2020년 1분기
을숙도,충북,351830.0,75,2020년 1분기
렛츠런파크,인천,325200.0,40,2020년 1분기
국립해양박물관,전북,272850.0,25,2020년 1분기
부산시민공원,강원,262710.0,25,2020년 1분기
부산시민공원,제주,245490.0,20,2020년 1분기
부산시민공원,전남,235940.0,55,2020년 1분기
을숙도,인천,224115.0,105,2020년 1분기
렛츠런파크,광주,220830.0,30,2020년 1분기
국립해양박물관,전남,216825.0,25,2020년 1분기
국립해양박물관,강원,214200.0,10,2020년 1분기
을숙도,강원,158880.0,65,2020년 1분기
부산시민공원,충북,158385.0,30,2020년 1분기
렛츠런파크,충남,150750.0,15,2020년 1분기
을숙도,전북,147020.0,55,2020년 1분기
부산시민공원,대전,136170.0,30,2020년 1분기
렛츠런파크,강원,126450.0,15,2020년 1분기
을숙도,세종,122805.0,50,2020년 1분기
국립해양박물관,광주,122400.0,20,2020년 1분기
부산시민공원,광주,121750.0,30,2020년 1분기
을숙도,전남,121573.0,105,2020년 1분기
부산시민공원,인천,116910.0,20,2020년 1분기
국립해양박물관,세종,109500.0,10,2020년 1분기
부산시민공원,전북,108120.0,20,2020년 1분기
렛츠런파크,충북,103950.0,15,2020년 1분기
을숙도,충남,97645.0,65,2020년 1분기
을숙도,제주,82730.0,45,2020년 1분기
렛츠런파크,대전,71775.0,5,2020년 1분기
렛츠런파크,전북,64350.0,5,2020년 1분기
부산시민공원,충남,51000.0,10,2020년 1분기
을숙도,광주,34490.0,50,2020년 1분기
국립해양박물관,제주,30345.0,5,2020년 1분기
부산시민공원,세종,29850.0,10,2020년 1분기
센텀시티(신세계센텀 등),경남,37939317846.0,264313,2020년 2분기
부산서면,경남,31467363467.0,598556,2020년 2분기
센텀시티(신세계센텀 등),울산,13308770907.0,83154,2020년 2분기
센텀시티(신세계센텀 등),서울,8167159479.0,105403,2020년 2분기
센텀시티(신세계센텀 등),경북,7492504541.0,47464,2020년 2분기
센텀시티(신세계센텀 등),대구,5995759246.0,40234,2020년 2분기
부산서면,울산,5644833748.0,117989,2020년 2분기
센텀시티(신세계센텀 등),경기,5217122851.0,76343,2020년 2분기
부산서면,서울,4885038836.0,157892,2020년 2분기
부산서면,경기,3983815836.0,123923,2020년 2분기
부산서면,경북,3768593649.0,81654,2020년 2분기
자갈치·국제시장·부평깡통야시장,경남,3066594183.0,66395,2020년 2분기
센텀시티(신세계센텀 등),전남,2917891805.0,10480,2020년 2분기
센텀시티(신세계센텀 등),광주,2893831263.0,8467,2020년 2분기
해운대해수욕장,서울,2393648168.0,56522,2020년 2분기
부산서면,대구,2114582496.0,50039,2020년 2분기
광안리해수욕장,서울,1836248020.0,71962,2020년 2분기
광안리해수욕장,경남,1728293539.0,63021,2020년 2분기
해운대해수욕장,경기,1626163134.0,43573,2020년 2분기
광안리해수욕장,경기,1530530098.0,60236,2020년 2분기
자갈치·국제시장·부평깡통야시장,서울,1308582763.0,38481,2020년 2분기
자갈치·국제시장·부평깡통야시장,경기,1257846611.0,36191,2020년 2분기
부산서면,전남,1197499570.0,22922,2020년 2분기
